"ISIL","機関名Institution name in Japanese","Institution name in English","機関名ヨミInstitution name in Japanese (kana form)","Postal code","都道府県Prefecture","市区町村City/Ward/Town/Village","町名番地Address","Telephone number","代表FAX番号Fax number","URL","旧ISIL Former ISIL","登録日","更新日"
"JP-1002803","西予市図書交流館遊子川分館","SEIYOSHI Library YUSUKAWABUNKAN","セイヨシトショコウリュウカンユスカワブンカン","797-1712","愛媛県","西予市","城川町遊子谷2372-1","0894-85-0111","0894-85-0355","https://lib.city.seiyo.ehime.jp/info_yusukawa.html",,2011/10/1 0:00:00,2019/12/10 0:00:00
"JP-1002804","西予市図書交流館土居分館","SEIYOSHI Library DOIBUNKAN","セイヨシトショコウリュウカンドイブンカン","797-1701","愛媛県","西予市","城川町土居1292-1","0894-83-1111","","https://lib.city.seiyo.ehime.jp/info_doi.html",,2011/10/1 0:00:00,2019/12/10 0:00:00
"JP-1002805","西予市図書交流館魚成分館","SEIYOSHI Library UONASHIBUNKAN","セイヨシトショコウリュウカンウオナシブンカン","797-1716","愛媛県","西予市","城川町魚成3680","0894-82-0015","","https://lib.city.seiyo.ehime.jp/info_uonashi.html",,2011/10/1 0:00:00,2019/12/10 0:00:00
"JP-1002806","東温市立図書館","TOONSHIRITSU Library","トウオンシリツトショカン","791-0211","愛媛県","東温市","見奈良509-3","089-964-3414","089-964-7322","http://www.toon-lib.jp/",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002807","東温市立図書館川内分館","TOONSHIRITSU Library KAWAUCHIBUNKAN","トウオンシリツトショカンカワウチブンカン","791-0301","愛媛県","東温市","南方264","089-966-4721","089-966-4867","http://www.toon-lib.jp/index.html",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002808","久万高原町立図書館","KUMAKOGENCHORITSU Library","クマコウゲンチョウリツトショカン","791-1201","愛媛県","上浮穴郡久万高原町","久万1484-1","0892-50-0415","0892-50-0416","https://www.kumakogen.jp/site/tosyo/",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1002809","松前町ふるさとライブラリー","MASAKICHOFURUSATORAIBURARI","マサキチョウフルサトライブラリー","791-3120","愛媛県","伊予郡松前町","大字筒井633","089-985-4140","","http://www.masaki-bunka.jp/library/",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002810","砥部町立図書館","TOBECHORITSU Library","トベチョウリツトショカン","791-2120","愛媛県","伊予郡砥部町","宮内1410","089-962-4400","089-962-4411","http://www.lib-tobe-ehime.jp/",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002811","内子町図書情報館","UCHIKOCHOTOSHOJOHOKAN","ウチコチョウトショジョウホウカン","791-3301","愛媛県","喜多郡内子町","内子3427","0893-44-4198","","https://www.town.uchiko.ehime.jp/soshiki/20/library1.html",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1002812","伊方町立図書館","Ikata Library","イカタチョウリツトショカン","796-0301","愛媛県","西宇和郡伊方町","湊浦1992","0894-38-0607","0894-38-0617","http://www.town.ikata.ehime.jp/site/tosyokan/",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1002813","高知県立図書館","Kochi Prefectural Library","コウチケンリツトショカン","780-0842","高知県","高知市","追手筋2-1-1","088-823-4946","088-872-6479","https://otepia.kochi.jp/library/",,2011/10/1 0:00:00,2020/12/2 0:00:00
"JP-1002814","高知市立市民図書館","KOCHISHIRITSUSHIMIN Library","コウチシリツシミントショカン","780-0842","高知県","高知市","追手筋二丁目1番1号","088-823-4946","088-823-9352","https://otepia.kochi.jp/library/",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1002815","高知市立旭市民図書館","KOCHISHIRITSUASAHISHIMIN Library","コウチシリツアサヒシミントショカン","780-0935","高知県","高知市","旭町3丁目121","088-872-0322","","https://otepia.kochi.jp/library/annex-list.html",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1002816","高知市立江ノ口市民図書館","KOCHISHIRITSUENOKUCHISHIMIN Library","コウチシリツエノクチシミントショカン","780-0051","高知県","高知市","愛宕町1丁目10-7","088-873-7600","","https://otepia.kochi.jp/library/annex-list.html",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1002817","高知市立潮江市民図書館","KOCHISHIRITSUSHIOESHIMIN Library","コウチシリツウシオエシミントショカン","780-8010","高知県","高知市","桟橋通2丁目1-50","088-832-4044","","https://otepia.kochi.jp/library/annex-list.html",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1002818","高知市立下知市民図書館","KOCHISHIRITSUSHIMOJISHIMIN Library","コウチシリツシモジシミントショカン","780-0815","高知県","高知市","二葉町10-7","088-883-3000","","https://otepia.kochi.jp/library/annex-list.html",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1002819","高知市立長浜市民図書館","KOCHISHIRITSUNAGAHAMASHIMIN Library","コウチシリツナガハマシミントショカン","781-0270","高知県","高知市","長浜690-5","088-841-2013","","https://otepia.kochi.jp/library/annex-list.html",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1002820","高知市立春野市民図書館","KOCHISHIRITSUHARUNOSHIMIN Library","コウチシリツハルノシミントショカン","781-0304","高知県","高知市","春野町西分340","088-894-5554","088-894-5523","https://otepia.kochi.jp/library/annex-list.html",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1002821","室戸市立市民図書館","MUROTOSHIRITSUSHIMIN Library","ムロトシリツシミントショカン","781-7102","高知県","室戸市","室津2404-5","0887-22-0161","","https://www.city.muroto.kochi.jp/pages/citylibrary.php",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1002822","安芸市民図書館","AKISHIMIN Library","アキシミントショカン","784-0001","高知県","安芸市","矢ノ丸3丁目12-29","0887-35-5638","","http://www.city.aki.kochi.jp/life/dtl.php?hdnKey=19",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002823","南国市立図書館","Nankoku City Library","ナンコクシリツトショカン","783-0006","高知県","南国市","篠原1801-5","088-863-0469","088-863-0220","http://www.city.nankoku.lg.jp/life/life_dtl.php?hdnKey=1971",,2011/10/1 0:00:00,2015/5/20 0:00:00
"JP-1002824","土佐市立市民図書館","TOSASHIRITSUSHIMIN Library","トサシリツシミントショカン","781-1102","高知県","土佐市","高岡町乙３４５１－１","088-852-3333","088-852-3484","http://www.tosho-city-tosa.jp/",,2011/10/1 0:00:00,2021/12/15 0:00:00
"JP-1002825","土佐市立市民図書館宇佐分館","TOSASHIRITSUSHIMIN Library USABUNKAN","トサシリツシミントショカンウサブンカン","781-1161","高知県","土佐市","宇佐町宇佐888-1","088-856-2837","","http://www.tosho-city-tosa.jp/",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002826","土佐市立市民図書館戸波分館","TOSASHIRITSUSHIMIN Library HEWABUNKAN","トサシリツシミントショカンヘワブンカン","781-1134","高知県","土佐市","家俊1899-1","088-855-0805","","http://www.tosho-city-tosa.jp/",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002827","須崎市立図書館","SUSAKISHIRITSU Library","スサキシリツトショカン","785-0013","高知県","須崎市","西古市町6-15","0889-42-2141","0889-42-2141","https://www.city.susaki.lg.jp/life/detail.php?hdnKey=153",,2011/10/1 0:00:00,2016/6/15 0:00:00
"JP-1002828","宿毛市立坂本図書館","SUKUMOSHIRITSUSAKAMOTO Library","スクモシリツサカモトトショカン","788-0001","高知県","宿毛市","中央2丁目7-14","0880-63-2654","0880-63-0155","http://www.city.sukumo.kochi.jp/sbc/library/",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002829","土佐清水市立市民図書館","Tosashimizu City Public Library","トサシミズシリツシミントショカン","787-0306","高知県","土佐清水市","幸町4-19","0880-82-4151","0880-82-4160","http://www.tosashimizu-public-library.jp",,2011/10/1 0:00:00,2012/4/3 0:00:00
"JP-1002830","四万十市立図書館","SHIMANTOSHIRITSU Library","シマントシリツトショカン","787-8501","高知県","四万十市","中村大橋通4丁目10","0880-35-2923","0880-35-2960","http://www.city.shimanto.lg.jp/kyouiku/lib/index.html",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002831","香南市香我美図書館","KONANSHIKAGAMI Library","コウナンシカガミトショカン","781-5332","高知県","香南市","香我美町徳王子2220-1","0887-55-0022","0887-55-5737","http://www.city.kochi-konan.lg.jp/life/dtl.php?hdnKey=2718",,2011/10/1 0:00:00,2015/5/20 0:00:00
"JP-1002832","香南市野市図書館","KONANSHINOICHI Library","コウナンシノイチトショカン","781-5232","高知県","香南市","野市町西野594","0887-56-3434","0887-56-3435","http://www.city.kochi-konan.lg.jp/life/dtl.php?hdnKey=2721",,2011/10/1 0:00:00,2015/5/20 0:00:00
"JP-1002833","香美市立図書館","KAMISHIRITSU Library","カミシリツトショカン","782-0051","高知県","香美市","土佐山田町楠目736番地","0887-53-0301","0887-53-0307","https://www.city.kami.lg.jp/soshiki/56/",,2011/10/1 0:00:00,2023/1/5 0:00:00
"JP-1002834","香美市立図書館香北分館","KAMISHIRITSU Library KAHOKUBUNKAN","カミシリツトショカンカホクブンカン","781-4212","高知県","香美市","香北町美良布1097","0887-52-8080","0887-59-4550","https://www.city.kami.lg.jp/map/toshokan-k.html",,2011/10/1 0:00:00,2022/3/23 0:00:00
"JP-1002835","香美市立図書館物部分館","KAMISHIRITSU Library MONOBEBUNKAN","カミシリツトショカンモノベブンカン","781-4401","高知県","香美市","物部町大栃1390-1","0887-58-2058","0887-58-2295","https://www.city.kami.lg.jp/map/toshokan-m.html",,2011/10/1 0:00:00,2020/2/28 0:00:00
"JP-1002836","東洋町立図書館","TOYOCHORITSU Library","トウヨウチョウリツトショカン","781-7301","高知県","安芸郡東洋町","大字野根丙1795","0887-28-1674","0887-28-1674","",,2011/10/1 0:00:00,
"JP-1002837","田野町立図書館","TANOCHORITSU Library","タノチョウリツトショカン","781-6410","高知県","安芸郡田野町","1456-42","0887-38-2511","0887-38-7000","https://ilisod006.apsel.jp/tano-lib/",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1002838","芸西村立図書館","GEISEISONRITSU Library","ゲイセイソンリツトショカン","781-5701","高知県","安芸郡芸西村","和食甲1262","0887-33-2400","0887-32-2014","https://ilisod006.apsel.jp/geisei-lib/",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1002839","土佐町立図書館","TOSACHORITSU Library","トサチョウリツトショカン","781-3521","高知県","土佐郡土佐町","田井1488-1","0887-82-1800","0887-70-1317","http://www.town.tosa.kochi.jp/publics/index/105/",,2011/10/1 0:00:00,2015/5/20 0:00:00
"JP-1002840","いの町立図書館","INOCHORITSU Library","イノチョウリツトショカン","781-2113","高知県","吾川郡いの町","元町41","088-850-4360","088-850-4362","http://inolib.town.ino.kochi.jp",,2011/10/1 0:00:00,
"JP-1002841","佐川町立図書館","SAKAWACHORITSU Library","サカワチョウリツトショカン","789-1201","高知県","高岡郡佐川町","乙1862-1","0889-20-0202","0889-20-0202","http://www.town.sakawa.lg.jp/life/dtl.php?hdnKey=812",,2011/10/1 0:00:00,2017/2/28 0:00:00
"JP-1002842","日高村立図書館","HIDAKASONRITSU Library","ヒダカソンリツトショカン","781-2153","高知県","高岡郡日高村","本郷192","0889-20-1533","0889-20-1533","http://www.kochinet.ed.jp/hidaka-v/library_top.html",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002843","四万十町立図書館","SHIMANTOCHORITSU Library","シマントチョウリツトショカン","786-0004","高知県","高岡郡四万十町","茂串町9-20","0880-22-5000","0880-22-5001","http://www.town.shimanto.lg.jp/sisetuinfo/bunkasisetu_02.php",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002844","大月町立図書館","OTSUKICHORITSU Library","オオツキチョウリツトショカン","788-0302","高知県","幡多郡大月町","大字弘見2084","0880-73-0049","0880-73-0049","",,2011/10/1 0:00:00,
"JP-1002845","黒潮町立大方図書館","KUROSHIOCHORITSUOGATA Library","クロシオチョウリツオオガタトショカン","789-1931","高知県","幡多郡黒潮町","入野6931-3","0880-43-2110","0880-43-0222","http://www.library.town.kuroshio.lg.jp/pb/cont/syozaiti/30",,2011/10/1 0:00:00,2017/7/7 0:00:00
"JP-1002846","黒潮町立佐賀図書館","KUROSHIOCHORITSUSAGA Library","クロシオチョウリツサガトショカン","789-1720","高知県","幡多郡黒潮町","佐賀920","0880-55-3150","0880-31-4010","http://www.library.town.kuroshio.lg.jp/pb/cont/tosyokan",,2011/10/1 0:00:00,2022/3/23 0:00:00
"JP-1002847","特定非営利活動法人高知こどもの図書館","Kochi Children's Library","トクテイヒエイリカツドウホウジンコウチコドモノトショカン","780-0850","高知県","高知市","丸ノ内1-1-10","088-820-8250","088-820-8251","https://kodomonotoshokan.org/",,2011/10/1 0:00:00,2022/3/23 0:00:00
"JP-1002848","福岡県立図書館","Fukuoka Prefectural Library","フクオカケンリツトショカン","812-8651","福岡県","福岡市東区","箱崎1丁目41-12","092-641-1123","092-641-1127","http://www2.lib.pref.fukuoka.jp/",,2011/10/1 0:00:00,2015/5/20 0:00:00
"JP-1002849","北九州市立中央図書館","KITAKYUSHUSHIRITSUCHUO Library","キタキュウシュウシリツチュウオウトショカン","803-0813","福岡県","北九州市小倉北区","城内4-1","093-571-1481","093-571-1484","http://www.city.kitakyushu.lg.jp/kyouiku/file_0385.html",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002851","勝山こどもと母のとしょかん","KATSUYAMA KODOMOTO HAHANO TOSHOKAN","カツヤマコドモトハハノトショカン","803-0813","福岡県","北九州市小倉北区","城内4-1","093-571-1481","093-571-1484","http://www.city.kitakyushu.lg.jp/kyouiku/file_0386.html",,2011/10/1 0:00:00,2017/4/3 0:00:00
"JP-1002852","企救こどもと母のとしょかん","KIKU KODOMOTO HAHANO TOSHOKAN","キクコドモトハハノトショカン","802-0816","福岡県","北九州市小倉南区","若園5丁目1-5","093-921-1061","093-921-1061","http://www.city.kitakyushu.lg.jp/kyouiku/file_0388.html",,2011/10/1 0:00:00,2017/4/3 0:00:00
"JP-1002853","島郷こどもと母のとしょかん","SHIMAGO KODOMOTO HAHANO TOSHOKAN","シマゴウ　コドモトハハノトショカン","808-0105","福岡県","北九州市若松区","鴨生田2-1-1","093-701-3991","093-701-3991","http://www.city.kitakyushu.lg.jp/kyouiku/file_0393.html",,2011/10/1 0:00:00,2017/4/3 0:00:00
"JP-1002854","戸畑こどもと母のとしょかん","TOBATA KODOMOTO HAHANO TOSHOKAN","トバタコドモトハハノトショカン","804-0043","福岡県","北九州市戸畑区","観音寺町3-1","093-881-5155","093-881-5155","http://www.city.kitakyushu.lg.jp/kyouiku/file_0400.html",,2011/10/1 0:00:00,2017/4/3 0:00:00
"JP-1002855","八幡東こどもと母のとしょかん","YAHATAHIGASHI KODOMOTO HAHANO TOSHOKAN","ヤハタヒガシコドモトハハノトショカン","805-0052","福岡県","北九州市八幡東区","西丸山町2-1","093-662-3338","093-662-3338","http://www.city.kitakyushu.lg.jp/kyouiku/file_0395.html",,2011/10/1 0:00:00,2017/4/3 0:00:00
"JP-1002856","北九州市立八幡図書館折尾分館","KITAKYUSHU CITY YAHATA LIBRARY ORIOBUNKAN","キタキュウシュウシリツヤハタトショカンオリオブンカン","807-0861","福岡県","北九州市八幡西区","堀川町5-23","093-601-1999","093-601-1999","http://www.city.kitakyushu.lg.jp/kyouiku/file_0397.html",,2011/10/1 0:00:00,2023/10/31 0:00:00
"JP-1002857","八幡南こどもと母のとしょかん","YAHATAMINAMI KIDOMOTO HAHANO TOSHOKAN","ヤハタミナミコドモトハハノトショカン","807-1134","福岡県","北九州市八幡西区","茶屋の原1丁目6-1","093-618-8441","093-618-8441","http://www.city.kitakyushu.lg.jp/kyouiku/file_0398.html",,2011/10/1 0:00:00,2017/4/3 0:00:00
"JP-1002858","北九州市立戸畑図書館","KITAKYUSHUSHIRITSUTOBATA Library","キタキュウシュウシリツトバタトショカン","804-0082","福岡県","北九州市戸畑区","新池一丁目1番1号","093-871-3464","093-871-3466","http://www.city.kitakyushu.lg.jp/kyouiku/file_0399.html",,2011/10/1 0:00:00,2014/3/28 0:00:00
"JP-1002859","北九州市立門司図書館","KITAKYUSHUSHIRITSUMOJI Library","キタキュウシュウシリツモジトショカン","801-0864","福岡県","北九州市門司区","老松町3-3","093-321-6515","093-321-6516","http://www.city.kitakyushu.lg.jp/kyouiku/file_0390.html",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002860","大里こどもと母のとしょかん","DAIRI KODOMOTO HAHANO TOSHOKAN","ダイリコドモトハハノトショカン","800-0031","福岡県","北九州市門司区","高田2丁目2-18","093-371-4646","093-371-4646","http://www.city.kitakyushu.lg.jp/kyouiku/file_0391.html",,2011/10/1 0:00:00,2017/4/3 0:00:00
"JP-1002861","北九州市立八幡図書館","KITAKYUSHUSHIRITSUYAHATA Library","キタキュウシュウシリツヤハタトショカン","805-0059","福岡県","北九州市八幡東区","尾倉2丁目6-1","093-671-1123","093-671-1128","http://www.city.kitakyushu.lg.jp/kyouiku/file_0394.html",,2011/10/1 0:00:00,2016/10/4 0:00:00
"JP-1002862","北九州市立若松図書館","KITAKYUSHUSHIRITSUWAKAMATSU Library","キタキュウシュウシリツワカマツトショカン","808-0034","福岡県","北九州市若松区","本町3丁目11-1","093-761-2942","093-761-2943","http://www.city.kitakyushu.lg.jp/kyouiku/file_0392.html",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002863","北九州市立国際友好記念図書館","KITAKYUSHUSHIRITSUKOKUSAIYUKOKINEN Library","キタキュウシュウシリツコクサイユウコウキネントショカン","801-0853","福岡県","北九州市門司区","東港町1-12","093-331-5446","093-331-5428","http://www.city.kitakyushu.lg.jp/kyouiku/file_0389.html",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002864","北九州市立中央図書館曽根分館","KITAKYUSHUSHIRITSUCHUO Library SONEBUNKAN","キタキュウシュウシリツチュウオウトショカンソネブンカン","800-0217","福岡県","北九州市小倉南区","下曽根4丁目22-1","093-475-0120","093-475-0120","http://www.city.kitakyushu.lg.jp/kyouiku/file_0387.html",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002865","北九州市立門司図書館新門司分館","KITAKYUSHUSHIRITSUMOJI Library SHIMMOJIBUNKAN","キタキュウシュウシリツモジトショカンシンモジブンカン","800-0118","福岡県","北九州市門司区","吉志新町2丁目1-1","093-481-1153","093-481-1153","http://www.city.kitakyushu.lg.jp/kyouiku/file_0404.html",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002866","福岡市総合図書館","Fukuoka City Public Library","フクオカシソウゴウトショカン","814-0001","福岡県","福岡市早良区","百道浜3丁目7-1","092-852-0600","092-852-0609","http://toshokan.city.fukuoka.lg.jp/",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002867","福岡市東図書館","FUKUOKASHIHIGASHI Library","フクオカシヒガシトショカン","813-0044","福岡県","福岡市東区","千早四丁目21-45","092-674-3982","092-674-3973","http://toshokan.city.fukuoka.lg.jp/spots/detail/8",,2011/10/1 0:00:00,2016/10/7 0:00:00
"JP-1002868","福岡市南図書館","FUKUOKASHIMINAMI Library","フクオカシミナミトショカン","815-0032","福岡県","福岡市南区","塩原2丁目8-2","092-561-3048","092-561-3054","http://toshokan.city.fukuoka.lg.jp/spots/detail/10",,2011/10/1 0:00:00,2013/7/16 0:00:00
"JP-1002869","福岡市中央図書館","FUKUOKASHICHUO Library","フクオカシチュウオウトショカン","810-0042","福岡県","福岡市中央区","赤坂2丁目5-8","092-751-9534","092-751-9535","http://toshokan.city.fukuoka.lg.jp/spots/detail/7",,2011/10/1 0:00:00,2013/7/17 0:00:00
"JP-1002870","福岡市西図書館","FUKUOKASHINISHI Library","フクオカシニシトショカン","819-0005","福岡県","福岡市西区","内浜1丁目4-39","092-884-3874","092-884-3895","http://toshokan.city.fukuoka.lg.jp/spots/detail/5",,2011/10/1 0:00:00,2013/7/17 0:00:00
"JP-1002871","福岡市博多図書館","FUKUOKASHIHAKATA Library","フクオカシハカタトショカン","812-0015","福岡県","福岡市博多区","山王1丁目13-10","092-472-5996","092-472-5999","http://toshokan.city.fukuoka.lg.jp/spots/detail/11",,2011/10/1 0:00:00,2013/7/17 0:00:00
"JP-1002872","福岡市城南図書館","FUKUOKASHIJONAN Library","フクオカシジョウナントショカン","814-0142","福岡県","福岡市城南区","片江5丁目3-25","092-864-4823","092-864-4824","http://toshokan.city.fukuoka.lg.jp/spots/detail/3",,2011/10/1 0:00:00,2013/7/17 0:00:00
"JP-1002873","福岡市早良図書館","FUKUOKASHIRITSUSAWARA Library","フクオカシリツサワラトショカン","814-0006","福岡県","福岡市早良区","百道2丁目2-1","092-845-8835","092-845-8841","http://toshokan.city.fukuoka.lg.jp/spots/detail/6",,2011/10/1 0:00:00,2013/7/17 0:00:00
"JP-1002874","福岡市博多南図書館","FUKUOKASHIHAKATAMINAMI Library","フクオカシハカタミナミトショカン","812-0883","福岡県","福岡市博多区","南本町2丁目3-1","092-502-8580","092-502-8579","http://toshokan.city.fukuoka.lg.jp/spots/detail/12",,2011/10/1 0:00:00,2013/7/17 0:00:00
"JP-1002875","福岡市和白図書館","FUKUOKASHIWAJIRO Library","フクオカシワジロトショカン","811-0213","福岡県","福岡市東区","和白丘1丁目22-27","092-608-8490","092-608-8495","http://toshokan.city.fukuoka.lg.jp/spots/detail/9",,2011/10/1 0:00:00,2013/7/17 0:00:00
"JP-1002876","大牟田市立図書館","Omuta City Library","オオムタシリツトシヨカン","836-0861","福岡県","大牟田市","宝坂町2丁目2-3","0944-55-4504","0944-43-1167","http://www.library.city.omuta.fukuoka.jp",,2011/10/1 0:00:00,2013/7/17 0:00:00
"JP-1002877","久留米市立中央図書館","KURUMESHIRITSUCHUO Library","クルメシリツチュウオウトショカン","839-0862","福岡県","久留米市","野中町970-1","0942-38-7116","0942-38-7183","http://www.city.kurume.fukuoka.jp/1060manabi/2060library/",,2011/10/1 0:00:00,2015/5/21 0:00:00
"JP-1002878","久留米市立六ツ門図書館","KURUMESHIRITSUMUTSUMON Library","クルメシリツムツモントショカン","830-0031","福岡県","久留米市","六ツ門町3-11","0942-39-5620","0942-27-7281","http://www.city.kurume.fukuoka.jp/1060manabi/2060library/",,2011/10/1 0:00:00,2015/5/21 0:00:00
"JP-1002879","久留米市立田主丸図書館","KURUMESHIRITSUTANUSHIMARU Library","クルメシリツタヌシマルトショカン","839-1233","福岡県","久留米市","田主丸町田主丸770-1","0943-73-4031","0943-74-4041","http://www.city.kurume.fukuoka.jp/1060manabi/2060library/",,2011/10/1 0:00:00,2015/5/21 0:00:00
"JP-1002880","久留米市立城島図書館","KURUMESHIRITSUJOJIMA Library","クルメシリツジョウジマトショカン","830-0211","福岡県","久留米市","城島町楢津1-1","0942-62-1777","0942-62-4466","http://www.city.kurume.fukuoka.jp/1060manabi/2060library/",,2011/10/1 0:00:00,2015/5/21 0:00:00
"JP-1002881","久留米市立三潴図書館","KURUMESHIRITSUMIZUMA Library","クルメシリツミヅマトショカン","830-0112","福岡県","久留米市","三潴町玉満2949-1","0942-64-6010","0942-64-4687","http://www.city.kurume.fukuoka.jp/1060manabi/2060library/",,2011/10/1 0:00:00,2015/5/21 0:00:00
"JP-1002882","久留米市立北野図書館","KURUMESHIRITSUKITANO Library","クルメシリツキタノトショカン","830-1113","福岡県","久留米市","北野町中3253","0942-23-1151","0942-23-1155","http://www.city.kurume.fukuoka.jp/1060manabi/2060library/",,2011/10/1 0:00:00,2015/5/21 0:00:00
"JP-1002883","直方市立図書館","Nogata City Library","ノオガタシリツトショカン","822-0034","福岡県","直方市","山部301-11（ユメニティのおがた内）","0949-25-2240","0949-23-3902","http://www.yumenity.jp/library/library.html",,2011/10/1 0:00:00,2013/7/17 0:00:00
"JP-1002884","飯塚市立飯塚図書館","Iizuka City Public Library","イイヅカシリツイイヅカトショカン","820-0041","福岡県","飯塚市","飯塚14-67","0948-22-5552","0948-22-5770","https://www.iizuka-library.jp/",,2011/10/1 0:00:00,2023/1/4 0:00:00
"JP-1002885","飯塚市立ちくほ図書館","IIZUKASHIRITSUCHIKUHO Library","イイヅカシリツチクホトショカン","820-0701","福岡県","飯塚市","長尾1390-1","0948-72-3849","0948-72-3854","https://www.iizuka-library.jp/",,2011/10/1 0:00:00,2023/1/4 0:00:00
"JP-1002886","飯塚市立庄内図書館","IIZUKASHIRITSUSHONAI Library","イイヅカシリツショウナイトショカン","820-0101","福岡県","飯塚市","綱分792-5","0948-82-4155","0948-82-2188","https://www.iizuka-library.jp/",,2011/10/1 0:00:00,2023/1/4 0:00:00
"JP-1002887","飯塚市立穂波図書館","IIZUKASHIRITSUHONAMI Library","イイヅカシリツホナミトショカン","820-0083","福岡県","飯塚市","秋松407-1","0948-29-1172","0948-29-1172","https://www.iizuka-library.jp/",,2011/10/1 0:00:00,2023/1/4 0:00:00
"JP-1002888","飯塚市立頴田図書館","IIZUKASHIRITSUKAITA Library","イイヅカシリツカイタトショカン","820-1112","福岡県","飯塚市","鹿毛馬1667-2","09496-2-1034","09496-2-2425","https://www.iizuka-library.jp/",,2011/10/1 0:00:00,2023/1/4 0:00:00
"JP-1002889","田川市立図書館","Tagawa City Public Library","タガワシリツトショカン","825-0016","福岡県","田川市","新町11-61","0947-44-0384","0947-44-0384","http://tagawa-biblio.jp/",,2011/10/1 0:00:00,2017/4/14 0:00:00
"JP-1002890","柳川市立図書館","YANAGAWASHIRITSU Library","ヤナガワシリツトショカン","832-0042","福岡県","柳川市","一新町3-1","0944-74-4111","0944-74-4946","http://www.city.yanagawa.fukuoka.jp/kyoiku/toshokan.html",,2011/10/1 0:00:00,2015/5/21 0:00:00
"JP-1002891","柳川市立図書館両開分館","YANAGAWASHIRITSU Library RYOKAIBUNKAN","ヤナガワシリツトショカンリョウカイブンカン","832-0054","福岡県","柳川市","有明町1490","0944-74-4116","0944-74-4116","http://www.city.yanagawa.fukuoka.jp/kyoiku/toshokan.html",,2011/10/1 0:00:00,2015/5/21 0:00:00
"JP-1002892","柳川市立図書館昭代分館","YANAGAWASHIRITSU Library SHODAIBUNKAN","ヤナガワシリツトショカンショウダイブンカン","832-0086","福岡県","柳川市","久々原126-1","0944-74-5111","0944-74-5111","http://www.city.yanagawa.fukuoka.jp/kyoiku/toshokan.html",,2011/10/1 0:00:00,2015/5/21 0:00:00
"JP-1002893","柳川市立図書館蒲池分館","YANAGAWASHIRITSU Library KAMACHIBUNKAN","ヤナガワシリツトショカンカマチブンカン","832-0004","福岡県","柳川市","矢加部245-1","0944-74-6200","0944-74-6200","http://www.city.yanagawa.fukuoka.jp/kyoiku/toshokan.html",,2011/10/1 0:00:00,2015/5/21 0:00:00
"JP-1002894","柳川市立雲龍図書館","YANAGAWASHIRITSUNRYU Library","ヤナガワシリツウンリュウトショカン","839-0253","福岡県","柳川市","大和町鷹ノ尾151-2","0944-76-1122","0944-76-1121","http://www.city.yanagawa.fukuoka.jp/kyoiku/toshokan.html",,2011/10/1 0:00:00,2015/5/21 0:00:00
"JP-1002895","柳川市立三橋図書館","YANAGAWASHIRITSUMITSUHASHI Library","ヤナガワシリツミツハシトショカン","832-0828","福岡県","柳川市","三橋町正行431-2","0944-74-6300","0944-74-6301","http://www.city.yanagawa.fukuoka.jp/kyoiku/toshokan.html",,2011/10/1 0:00:00,2015/5/21 0:00:00
"JP-1002896","八女市立図書館本館","YAMESHIRITSU Library HONKAN","ヤメシリツトショカンホンカン","834-0031","福岡県","八女市","本町536-3","0943-22-2504","0943-22-2504","https://www.library.yame.fukuoka.jp/",,2011/10/1 0:00:00,2015/5/21 0:00:00
