"ISIL","機関名Institution name in Japanese","Institution name in English","機関名ヨミInstitution name in Japanese (kana form)","Postal code","都道府県Prefecture","City/Ward/Town/Village","Address (Street Level)","Telephone number","代表FAX番号Fax number","URL","旧ISIL Former ISIL","登録日","更新日"
"JP-1004221","静岡理工科大学附属図書館","SHIZUOKARIKOKADAIGAKUFUZOKU Library","シズオカリコウカダイガクフゾクトショカン","437-8555","静岡県","袋井市","豊沢2200-2","0538-45-0231","0538-45-0230","http://www.sist.ac.jp/lib/",,2011/10/1 0:00:00,2015/9/15 0:00:00
"JP-1004222","聖隷クリストファー大学図書館","SEIREIKURISUTOFUADAIGAKU Library","セイレイクリストファーダイガクトショカン","433-8558","静岡県","浜松市北区","三方原町3453","053-439-1416","053-414-1146","https://lib.seirei.ac.jp/library/",,2011/10/1 0:00:00,2016/6/20 0:00:00
"JP-1004223","静岡産業大学図書館","Shizuoka Sangyo University Iwata Campus Library","シズオカサンギョウダイガクトショカン","438-0043","静岡県","磐田市","大原1572-1","0538-36-8844","0538-36-3580","http://www.ssu.ac.jp/library",,2011/10/1 0:00:00,2012/5/1 0:00:00
"JP-1004224","静岡産業大学藤枝図書館","Shizuoka Sangyo University Fujieda Campus Library","シズオカサンギョウダイガクフジエダトショカン","426-8668","静岡県","藤枝市","駿河台4丁目1-1","054-646-5441","054-644-5508","http://www.ssu.ac.jp/library",,2011/10/1 0:00:00,2012/5/1 0:00:00
"JP-1004226","静岡英和学院大学図書館","SHIZUOKAEIWAGAKUINDAIGAKU Library","シズオカエイワガクインダイガクトショカン","422-8545","静岡県","静岡市駿河区","池田1769","054-264-8875","054-263-1765","http://www.shizuoka-eiwa.ac.jp/life/facilities/library/",,2011/10/1 0:00:00,2016/5/25 0:00:00
"JP-1004227","静岡福祉大学附属図書館","SHIZUOKAFUKUSHIDAIGAKUFUZOKU Library","シズオカフクシダイガクフゾクトショカン","425-8611","静岡県","焼津市","本中根549-1","054-623-7452","054-623-7453","http://www.suw.ac.jp/link/library.html",,2011/10/1 0:00:00,2015/9/15 0:00:00
"JP-1004228","浜松学院大学図書館","Hamamatsu Gakuin University Library","ハママツガクインダイガクトショカン","432-8012","静岡県","浜松市中区","布橋3-2-3","053-450-7001","053-450-7111","http://www.hgu.ac.jp/univ_hp/library/library.html",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004229","光産業創成大学院大学附属図書館","The Graduate School for the Creation of New Photonics Industries Library","ヒカリサンギョウソウセイダイガクインダイガクフゾクトショカン","431-1202","静岡県","浜松市西区","呉松町1955-1","053-484-2501","053-487-3012","https://www.gpi.ac.jp/guidance/outline/library/",,2011/10/1 0:00:00,2017/4/18 0:00:00
"JP-1004230","愛知大学豊橋図書館","AICHIDAIGAKUTOYOHASHI Library","アイチダイガクトヨハシトショカン","441-8522","愛知県","豊橋市","町畑町1-1","0532-47-4181","0532-47-4182","http://library.aichi-u.ac.jp/toyohashi.php",,2011/10/1 0:00:00,2015/9/15 0:00:00
"JP-1004231","愛知大学名古屋図書館","AICHIDAIGAKUNAGOYA Library","アイチダイガクナゴヤトショカン","453-8777","愛知県","名古屋市中村区","平池町4-60-6","052-564-6115","0561-36-5547","http://library.aichi-u.ac.jp/nagoya.php",,2011/10/1 0:00:00,2015/9/15 0:00:00
"JP-1004232","愛知大学車道図書館","AICHIDAIGAKUKURUMAMICHI Library","アイチダイガククルマミチトショカン","461-8641","愛知県","名古屋市東区","筒井2丁目10-31","052-937-8116","052-937-6790","http://library.aichi-u.ac.jp/kurumamichi.php",,2011/10/1 0:00:00,2015/9/15 0:00:00
"JP-1004233","愛知医科大学医学情報センター(図書館)","Medical Information Center and Library, Aichi Medical University","アイチイカダイガクイガクジョウホウセンター(トショカン)","480-1195","愛知県","長久手市","岩作雁又1番地1（大学本館5階）","0561-61-5402","0561-62-3348","http://www.aichi-med-u.ac.jp/su24/index.html",,2011/10/1 0:00:00,2015/9/15 0:00:00
"JP-1004234","愛知学院大学図書館情報センター","Aichi Gakuin University Library and Information Center","アイチガクインダイガクトショカンジョウホウセンター","470-0195","愛知県","日進市","岩崎町阿良池12","0561-73-1111","0561-73-7810","http://www.lib.agu.ac.jp",,2011/10/1 0:00:00,2014/5/9 0:00:00
"JP-1004235","愛知学院大学歯学･薬学図書館情報センター","Aichi Gakuin University Dental and Pharmaceutical Library and Information Center","アイチガクインダイガクシガク･ヤクガクトショカンジョウホウセンター","464-8650","愛知県","名古屋市千種区","楠元町1-100","052-751-2561","052-752-6664","http://www.slib.aichi-gakuin.ac.jp",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004236","愛知工業大学附属図書館","Aichi Institute of Technology Library","アイチコウギョウダイガクフゾクトショカン","470-0392","愛知県","豊田市","八草町八千草1247","0565-48-8121","0565-48-2908","http://www.ait.ac.jp/facility/library/",,2011/10/1 0:00:00,2015/9/15 0:00:00
"JP-1004237","愛知学泉大学豊田図書館","Aichi Gakusen University Toyota Library","アイチガクセンダイガクトヨタトショカン","471-8532","愛知県","豊田市","大池町汐取1","0565-35-7097","0565-35-1003","http://wopac-toyolib.gakusen.ac.jp/",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004238","愛知学泉大学岡崎図書館","AICHIGAKUSENDAIGAKUOKAZAKI Library","アイチガクセンダイガクオカザキトショカン","444-8520","愛知県","岡崎市","舳越町上川成28","0564-34-1209","0564-34-1270","http://wopac-okalib.gakusen.ac.jp/",,2011/10/1 0:00:00,2015/9/15 0:00:00
"JP-1004239","金城学院大学図書館","Kinjo Gakuin University Library","キンジョウガクインダイガクトショカン","463-8521","愛知県","名古屋市守山区","大森2丁目1723","052-798-0180","052-768-1066","http://opc.kinjo-u.ac.jp",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004240","椙山女学園大学中央図書館","SUGIYAMAJOGAKUENDAIGAKUCHUO Library","スギヤマジョガクエンダイガクチュウオウトショカン","464-8662","愛知県","名古屋市千種区","星が丘元町17-3","052-781-6452","052-781-3094","http://www.lib.sugiyama-u.ac.jp/",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004241","椙山女学園大学日進図書館","SUGIYAMAJOGAKUENDAIGAKUNISSHIN Library","スギヤマジョガクエンダイガクニッシントショカン","470-0136","愛知県","日進市","竹の山3丁目2005番地","0561-74-1392","0561-74-0495","http://www.lib.sugiyama-u.ac.jp/",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004242","大同大学図書館","Daido University Library","ダイドウダイガクトショカン","457-8530","愛知県","名古屋市南区","滝春町10-3","052-612-6873","052-612-6108","http://lis.daido-it.ac.jp/home/",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004243","中京大学名古屋図書館","Chukyo University Nagoya Library","チュウキョウダイガクナゴヤトショカン","466-8666","愛知県","名古屋市昭和区","八事本町101-2","052-835-7157","052-835-1249","http://www.chukyo-u.ac.jp/research_2/library/",,2011/10/1 0:00:00,2015/9/15 0:00:00
"JP-1004244","中京大学豊田図書館","CHUKYODAIGAKUTOYOTA Library","チュウキョウダイガクトヨタトショカン","470-0393","愛知県","豊田市","貝津町床立101","0565-46-1246","0565-46-1295","http://www.chukyo-u.ac.jp/research_2/library/",,2011/10/1 0:00:00,2015/9/15 0:00:00
"JP-1004245","至学館大学附属図書館","SHIGAKKANDAIGAKUFUZOKU Library","シガッカンダイガクフゾクトショカン","474-8651","愛知県","大府市","横根町名高山55","0562-46-1239","0562-46-3860","http://www.sgk.ac.jp/library/",,2011/10/1 0:00:00,2017/4/18 0:00:00
"JP-1004246","中部大学附属三浦記念図書館","CHUBU University MIURA Memorial Library","チュウブダイガクフゾクミウラキネントショカン","487-8501","愛知県","春日井市","松本町1200","0568-51-4437","0568-52-1510","http://www.bliss.chubu.ac.jp/",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004247","同朋学園大学部附属図書館","Doho-Gakuen University Library","ドウホウガクエンダイガクブフゾクトショカン","453-8540","愛知県","名古屋市中村区","稲葉地町7-1","052-411-1951","052-411-1120","http://lib.doho.ac.jp/",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004248","名古屋学院大学学術情報センター","Nagoya Gakuin University Information Resource Center","ナゴヤガクインダイガクガクジュツジョウホウセンター","456-8612","愛知県","名古屋市熱田区","熱田西町1-25","052-678-4092","052-682-6826","http://www.ngu.jp/library/index.html",,2011/10/1 0:00:00,2012/4/26 0:00:00
"JP-1004249","名古屋学院大学学術情報センター(瀬戸図書館)","Nagoya Gakuin University Information Resource Center","ナゴヤガクインダイガクガクジュツジョウホウセンター(セトトショカン)","480-1298","愛知県","瀬戸市","上品野町1350","0561-42-0352","0561-41-2515","http://www.ngu.jp/library/",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004250","名古屋芸術大学附属図書館東キャンパス図書館","NAGOYAGEIJUTSUDAIGAKUFUZOKU Library HIGASHIKYAMPASU Library","ナゴヤゲイジュツダイガクフゾクトショカンヒガシキャンパストショカン","481-8503","愛知県","北名古屋市","熊之庄古井281","0568-26-3121","0568-26-3122","http://www.nua.ac.jp/outline/campus/library/",,2011/10/1 0:00:00,2017/4/18 0:00:00
"JP-1004251","名古屋芸術大学附属図書館西キャンパス図書館","NAGOYAGEIJUTSUDAIGAKUFUZOKU Library NISHIKYAMPASU Library","ナゴヤゲイジュツダイガクフゾクトショカンニシキャンパストショカン","481-8535","愛知県","北名古屋市","徳重西沼65","0568-24-0325","0568-26-1281","http://www.nua.ac.jp/outline/campus/library/",,2011/10/1 0:00:00,2017/4/18 0:00:00
"JP-1004252","名古屋商科大学中央情報センター","NAGOYASHOKADAIGAKUCHUOJOHOSENTA","ナゴヤショウカダイガクチュウオウジョウホウセンター","470-0193","愛知県","日進市","米野木町三ケ峯4-4","0561-73-2111","0561-74-0341","http://www.nucba.ac.jp/university/library/",,2011/10/1 0:00:00,2015/9/15 0:00:00
"JP-1004253","名古屋女子大学学術情報センター","Library and Information Technology center, Nagoya Women's University","ナゴヤジョシダイガクガクジュツジョウホウセンター","467-8610","愛知県","名古屋市瑞穂区","汐路町3丁目40","052-852-9768","052-852-1830","http://lsic.nagoya-wu.ac.jp",,2011/10/1 0:00:00,2012/4/10 0:00:00
"JP-1004254","名古屋女子大学学術情報センター天白分館","NAGOYAJOSHIDAIGAKUGAKUJUTSUJOHOSENTATEMPAKUBUNKAN","ナゴヤジョシダイガクガクジュツジョウホウセンターテンパクブンカン","468-8507","愛知県","名古屋市天白区","高宮町1302","052-801-1360","052-801-2243","http://lsic.nagoya-wu.ac.jp",,2011/10/1 0:00:00,
"JP-1004255","藤田医科大学図書館","Fujita Health University Library","フジタイカダイガクトショカン","470-1192","愛知県","豊明市","沓掛町田楽ケ窪1-98","0562-93-2420","0562-93-2649","https://library.fujita-hu.ac.jp/csp/carin/hp/CARhpTOP.csp",,2011/10/1 0:00:00,2021/6/25 0:00:00
"JP-1004256","南山大学図書館","Nanzan University Library","ナンザンダイガクトショカン","466-8673","愛知県","名古屋市昭和区","山里町18","052-832-3707","052-832-3462","http://office.nanzan-u.ac.jp/library/",,2011/10/1 0:00:00,2017/10/6 0:00:00
"JP-1004257","南山大学南山宗教文化研究所図書室","NANZANDAIGAKUNANZANSHUKYOBUNKAKENKYUJOTOSHOSHITSU","ナンザンダイガクナンザンシュウキョウブンカケンキュウジョトショシツ","466-8673","愛知県","名古屋市昭和区","山里町18","052-832-3111","","http://www.nanzan-u.ac.jp/SHUBUNKEN/",,2011/10/1 0:00:00,
"JP-1004258","南山大学人類学研究所図書室","NANZANDAIGAKUJINRUIGAKUKENKYUJOTOSHOSHITSU","ナンザンダイガクジンルイガクケンキュウジョトショシツ","466-8673","愛知県","名古屋市昭和区","山里町18","052-832-3111","","http://www.nanzan-u.ac.jp/JINRUIKEN/",,2011/10/1 0:00:00,
"JP-1004259","南山大学アメリカ研究センター図書室","NANZANDAIGAKUAMERIKAKENKYUSENTATOSHOSHITSU","ナンザンダイガクアメリカケンキュウセンタートショシツ","466-8673","愛知県","名古屋市昭和区","山里町18","052-832-3111","052-832-6825","http://www.nanzan-u.ac.jp/AMERICA/",,2011/10/1 0:00:00,
"JP-1004260","南山大学社会倫理研究所図書室","Library of the Nanzan University Institute for Social Ethics","ナンザンダイガクシャカイリンリケンキュウジョトショシツ","466-8673","愛知県","名古屋市昭和区","山里町18","052-832-3111","052-832-3703","http://rci.nanzan-u.ac.jp/ISE/ja/intro/library.html",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1004262","南山大学ラテンアメリカ研究センター図書室","NANZANDAIGAKURATENAMERIKAKENKYUSENTATOSHOSHITSU","ナンザンダイガクラテンアメリカケンキュウセンタートショシツ","466-8673","愛知県","名古屋市昭和区","山里町18","052-832-3111","052-832-6825","http://www.nanzan-u.ac.jp/LATIN/",,2011/10/1 0:00:00,
"JP-1004263","南山大学ヨーロッパ研究センター図書室","NANZANDAIGAKUYOROPPAKENKYUSENTATOSHOSHITSU","ナンザンダイガクヨーロッパケンキュウセンタートショシツ","466-8673","愛知県","名古屋市昭和区","山里町18","052-832-3111","052-832-6825","http://www.nanzan-u.ac.jp/EUROPE/",,2011/10/1 0:00:00,
"JP-1004265","南山法科大学院図書室","NANZANHOKADAIGAKUINTOSHOSHITSU","ナンザンホウカダイガクイントショシツ","466-8673","愛知県","名古屋市昭和区","山里町18","052-832-8024","","http://www.ic.nanzan-u.ac.jp/LS/joho/facilities.html",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004266","南山大学アジア･太平洋研究センター図書館","NANZANDAIGAKUAJIA･TAIHEIYOKENKYUSENTA Library","ナンザンダイガクアジア･タイヘイヨウケンキュウセンタートショカン","466-8673","愛知県","名古屋市昭和区","山里町18","052-832-3111","052-832-6825","http://www.ic.nanzan-u.ac.jp/ASIAPACIFIC/library.html",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004267","日本福祉大学付属図書館美浜本館","Nihon Fukushi University Library","ニホンフクシダイガクフゾクトショカンミハマホンカン","470-3295","愛知県","知多郡美浜町","大字奥田字会下前35番6","0569-87-2325","0569-87-2795","https://library.n-fukushi.ac.jp/library/",,2011/10/1 0:00:00,2015/11/6 0:00:00
"JP-1004268","日本福祉大学付属図書館半田分館","Nihon Fukushi University Library","ニホンフクシダイガクフゾクトショカンハンダブンカン","475-0012","愛知県","半田市","東生見町26番2","0569-20-0121","0569-20-0120","https://library.n-fukushi.ac.jp/library/",,2011/10/1 0:00:00,2015/11/6 0:00:00
"JP-1004269","日本福祉大学付属図書館名古屋分館","Nihon Fukushi University Library","ニホンフクシダイガクフゾクトショカンナゴヤブンカン","460-0012","愛知県","名古屋市中区","千代田5丁目22番地35","052-242-3058","052-242-3059","https://library.n-fukushi.ac.jp/library/",,2011/10/1 0:00:00,2015/11/6 0:00:00
"JP-1004270","名城大学附属図書館","Meijo University Library","メイジョウダイガクフゾクトショカン","468-8502","愛知県","名古屋市天白区","塩釜口一丁目501番地","052-838-2093","052-833-6046","http://www.meijo-u.ac.jp/library/",,2011/10/1 0:00:00,2018/2/9 0:00:00
"JP-1004271","名城大学附属図書館薬学部分館","Meijo University Pharmaceutical Library","メイジョウダイガクフゾクトショカンヤクガクブブンカン","468-8503","愛知県","名古屋市天白区","八事山150番地","052-839-2626","052-834-8780","http://www.meijo-u.ac.jp/library/",,2011/10/1 0:00:00,2018/2/9 0:00:00
"JP-1004273","愛知淑徳大学図書館","Aichi Shukutoku University Library","アイチシュクトクダイガクトショカン","480-1197","愛知県","長久手市","片平二丁目9","0561-62-4111","0561-64-0310","http://www2.aasa.ac.jp/org/lib/",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004274","愛知淑徳大学図書館星が丘分館","Aichi Shukutoku University Library","アイチシュクトクダイガクトショカンホシガオカブンカン","464-8671","愛知県","名古屋市千種区","桜が丘23","052-781-1151","052-782-6021","http://www2.aasa.ac.jp/org/lib/",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004275","名古屋経済大学･名古屋経済大学短期大学部図書館","Nagoya University of Economics Library","ナゴヤケイザイダイガクナゴヤケイザイダイガクタンキダイガクブトショカン","484-0000","愛知県","犬山市","字樋池61-22","0568-67-3798","0568-67-9321","http://wwwopac.nagoya-ku.ac.jp/",,2011/10/1 0:00:00,2015/9/17 0:00:00
"JP-1004276","豊田工業大学総合情報センター","Library and Information Processing Center, Toyota Technological Institute","トヨタコウギョウダイガクソウゴウジョウホウセンター","468-8511","愛知県","名古屋市天白区","久方2丁目12-1","052-809-1743","052-809-1744","http://libwww.toyota-ti.ac.jp",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004277","名古屋外国語大学･名古屋学芸大学図書館","Nagoya University of Foreign Studies & Nagoya University of Arts and Sciences Library","ナゴヤガイコクゴダイガク･ナゴヤガクゲイダイガクトショカン","470-0188","愛知県","日進市","岩崎町竹ノ山57","0561-75-1726","0561-75-1727","http://library.nakanishi.ac.jp",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004278","名古屋造形大学図書館","NAGOYAZOKEIDAIGAKU Library","ナゴヤゾウケイダイガクトショカン","485-8563","愛知県","小牧市","大字大草字年上坂6004","0568-79-1255","0568-47-0361","http://www.nzu.ac.jp/lib/",,2011/10/1 0:00:00,2015/9/18 0:00:00
"JP-1004279","愛知産業大学･短期大学図書館","AICHISANGYODAIGAKU･TANKIDAIGAKU Library","アイチサンギョウダイガク･タンキダイガクトショカン","444-0005","愛知県","岡崎市","岡町字原山12-5","0564-48-4591","0564-48-5113","http://asu-g.net/univ/campus_info/blog.php?ID=697",,2011/10/1 0:00:00,2014/2/6 0:00:00
"JP-1004281","東海学園大学名古屋キャンパス図書館","Tokaigakuen University Nagoya Campus Library","トウカイガクエンダイガクナゴヤキャンパストショカン","468-8514","愛知県","名古屋市天白区","中平2丁目901","052-801-1528","052-804-1192","https://www.tokaigakuen-u.ac.jp/lib/",,2011/10/1 0:00:00,2015/9/18 0:00:00
"JP-1004282","東海学園大学三好キャンパス図書館","Tokai Gakuen University Miyoshi Campus Library","トウカイガクエンダイガクミヨシキャンパストショカン","470-0207","愛知県","みよし市","福谷町西ノ洞21-233","0561-36-6755","0561-33-0165","https://www.tokaigakuen-u.ac.jp/lib/",,2011/10/1 0:00:00,2015/9/18 0:00:00
"JP-1004283","豊橋創造大学附属図書館","Toyohashi SOZO University Library","トヨハシソウゾウダイガクフゾクトショカン","440-8511","愛知県","豊橋市","牛川町字松下20-1","050-2017-2105","050-2017-2115","http://www.sozo.ac.jp/slic/",,2011/10/1 0:00:00,2012/4/4 0:00:00
"JP-1004284","愛知文教大学附属図書館","Aichi Bunkyo University","アイチブンキョウダイガクフゾクトショカン","485-8565","愛知県","小牧市","大字大草字年上坂5969-3","0568-78-2211","0568-78-2240","http://www.abu.ac.jp/library/",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1004286","桜花学園大学図書館","Ohkagakuen University Library","オウカガクエンダイガクトショカン","470-1193","愛知県","豊明市","栄町武侍48","0562-97-1725","0562-97-1703","http://libwww.nagoyacollege.ac.jp",,2011/10/1 0:00:00,2012/4/17 0:00:00
"JP-1004287","名古屋文理大学図書情報センター","Library and Information Network Center, NAGOYA BUNRI UNIVERSITY","ナゴヤブンリダイガクトショジョウホウセンター","492-8520","愛知県","稲沢市","稲沢町前田365","0587-23-2400","0587-21-2844","http://opaci.nagoya-bunri.ac.jp",,2011/10/1 0:00:00,2015/9/29 0:00:00
"JP-1004288","愛知工科大学附属図書館","AICHIKOKADAIGAKUFUZOKU Library","アイチコウカダイガクフゾクトショカン","443-0047","愛知県","蒲郡市","西迫町馬乗50-2","0533-68-1135","0533-68-0352","http://www-in.aut.ac.jp/~library/",,2011/10/1 0:00:00,2015/9/29 0:00:00
"JP-1004289","名古屋産業大学･名古屋経営短期大学図書館","Nagoya Sangyo University & Nagoya Management Junior College Library","ナゴヤサンギョウダイガク･ナゴヤケイエイタンキダイガクトショカン","488-8711","愛知県","尾張旭市","新居町山の田3255-5","0561-55-3081","0561-55-5985","http://www.nagoya-su.ac.jp/library/",,2011/10/1 0:00:00,2020/3/2 0:00:00
"JP-1004290","人間環境大学附属図書館","University of Human Environments Library","ニンゲンカンキョウダイガクフゾクトショカン","444-3505","愛知県","岡崎市","本宿町字上三本松6-2","0564-48-7815","0564-48-7815","https://lib.uhe.ac.jp/drupal/",,2011/10/1 0:00:00,2014/2/7 0:00:00
"JP-1004291","愛知東邦大学学術情報センター","AICHITOHODAIGAKUGAKUJUTSUJOHOSENTA","アイチトウホウダイガクガクジュツジョウホウセンター","465-8515","愛知県","名古屋市名東区","平和が丘3丁目11","052-782-1243","052-781-0931","http://www.aichi-toho.ac.jp/institutions/learning_info",,2011/10/1 0:00:00,2017/4/18 0:00:00
"JP-1004292","星城大学図書館","Seijoh University Library","セイジョウダイガクトショカン","476-8588","愛知県","東海市","富貴ノ台2-172","052-601-6000","052-601-6137","http://www.seijoh-u.ac.jp/labo/labo-library/",,2011/10/1 0:00:00,2015/9/29 0:00:00
"JP-1004294","日本赤十字豊田看護大学図書館","Library, Japanese Red Cross Toyota College of Nursing","ニッポンセキジュウジトヨタカンゴダイガクトショカン","471-8565","愛知県","豊田市","白山町七曲12-33","0565-36-5119","0565-37-7897","http://www.rctoyota.ac.jp/library",,2011/10/1 0:00:00,2012/4/26 0:00:00
"JP-1004295","修文大学附属図書館","Shubun University Library","シュウブンダイガクフゾクトショカン","491-0938","愛知県","一宮市","日光町6","0586-45-2101","0586-45-4410","",,2011/10/1 0:00:00,2012/4/5 0:00:00
"JP-1004296","皇學館大学附属図書館","Kogakkan University Library","コウガッカンダイガクフゾクトショカン","516-8555","三重県","伊勢市","神田久志本町1704","0596-22-6322","0596-22-6329","http://www.kogakkan-u.ac.jp/html/library/p01.php",,2011/10/1 0:00:00,2014/2/10 0:00:00
"JP-1004299","四日市大学情報センター","Yokkaichi University Information Center","ヨッカイチダイガクジョウホウセンター","512-8512","三重県","四日市市","萱生町1200","059-365-6712","059-365-6619","http://www.yokkaichi-u.ac.jp/tosyo/",,2011/10/1 0:00:00,2014/2/10 0:00:00
"JP-1004300","鈴鹿医療科学大学附属図書館","SUZUKA UNIVERSITY OF MEDICAL SCIENCE LIBRARY","スズカイリョウカガクダイガクフゾクトショカン","510-0293","三重県","鈴鹿市","岸岡町1001-1","059-383-8991","059-383-9915","http://www.suzuka-u.ac.jp/lib/",,2011/10/1 0:00:00,2012/3/27 0:00:00
"JP-1004301","鈴鹿医療科学大学附属図書館白子分館","SHIROKO BRANCH LIBRARY, SUZUKA UNIVERSITY OF MEDICAL SCIENCE","スズカイリョウカガクダイガクフゾクトショカンシロコブンカン","513-8670","三重県","鈴鹿市","南玉垣町3500番地3","059-340-0550","","http://www.suzuka-u.ac.jp/lib/",,2011/10/1 0:00:00,2014/2/10 0:00:00
"JP-1004302","鈴鹿大学附属図書館","SUZUKADAIGAKUFUZOKU Library","スズカダイガクフゾクトショカン","510-0298","三重県","鈴鹿市","郡山町字西高山663-222","059-372-3950","059-372-2827","https://www.suzuka-iu.ac.jp/facilities/library.html",,2011/10/1 0:00:00,2017/4/18 0:00:00
"JP-1004303","四日市看護医療大学図書館","Yokkaichi Nursing and Medical Care University Library","ヨッカイチカンゴイリョウダイガクトショカン","512-8045","三重県","四日市市","萱生町1200","059-340-0705","059-361-1401","http://www.y-nm.ac.jp/library/index.html",,2011/10/1 0:00:00,2015/9/29 0:00:00
"JP-1004304","成安造形大学附属図書館","SEIANZOKEIDAIGAKUFUZOKU Library","セイアンゾウケイダイガクフゾクトショカン","520-0248","滋賀県","大津市","仰木の里東4丁目3-1","077-574-2111","077-574-2120","http://www.seian.ac.jp/about/library/",,2011/10/1 0:00:00,2015/9/29 0:00:00
"JP-1004305","聖泉大学図書館","Library of Seisen University","セイセンダイガクトショカン","521-1123","滋賀県","彦根市","肥田町720","0749-43-7513","0749-43-5201","http://www.seisen.ac.jp/fuzoku/library",,2011/10/1 0:00:00,2015/9/29 0:00:00
"JP-1004306","長浜バイオ大学図書情報センター","NAGAHAMABAIODAIGAKUTOSHOJOHOSENTA","ナガハマバイオダイガクトショジョウホウセンター","526-0829","滋賀県","長浜市","田村町1266","0749-64-8135","0749-64-8136","http://www.nagahama-i-bio.ac.jp",,2011/10/1 0:00:00,
"JP-1004307","びわこ成蹊スポーツ大学図書館","BIWAKO SEIKEI SPORT COLLEGE LIBRARY","ビワコセイケイスポーツダイガクトショカン","520-0503","滋賀県","大津市","北比良1204","077-596-8445","077-596-8449","http://www.bss.ac.jp/library/",,2011/10/1 0:00:00,2014/2/10 0:00:00
"JP-1004308","びわこ学院大学図書館","Ｂiwako-Ｇakuin Ｕniversity","ビワコガクインダイガクトショカン","527-8533","滋賀県","東近江市","布施町29番地","0748-22-3388","0748-23-8610","http://www.newton.ac.jp/bgu/tosyokan",,2011/10/1 0:00:00,2015/9/29 0:00:00
"JP-1004309","龍谷大学深草図書館","RYUKOKUDAIGAKUFUKAKUSA Library","リュウコクダイガクフカクサトショカン","612-8577","京都府","京都市伏見区","深草塚本町67","075-645-2564","075-641-7955","http://www.ryukoku.ac.jp/lib/index.php",,2011/10/1 0:00:00,2015/9/29 0:00:00
"JP-1004310","龍谷大学大宮図書館","RYUKOKUDAIGAKUOMIYA Library","リュウコクダイガクオオミヤトショカン","600-8268","京都府","京都市下京区","七条通大宮東入大工町125-1","075-343-3311","075-344-0345","http://www.ryukoku.ac.jp/lib/index.php",,2011/10/1 0:00:00,2015/9/29 0:00:00
"JP-1004311","龍谷大学瀬田図書館","RYUKOKUDAIGAKUSETA Library","リュウコクダイガクセタトショカン","520-2194","滋賀県","大津市","瀬田大江町横谷1-5","077-543-7751","077-543-7769","http://www.ryukoku.ac.jp/lib/index.php",,2011/10/1 0:00:00,2015/9/29 0:00:00
"JP-1004312","龍谷大学社会科学研究所","Ryukoku University Research Institute For Social Sciences","リュウコクダイガクシャカイカガクケンキュウショ","612-8577","京都府","京都市伏見区","深草塚本町67","075-645-7875","075-643-8510","http://www.ryukoku.ac.jp/shaken/index.html",,2011/10/1 0:00:00,2014/2/10 0:00:00
"JP-1004313","京都精華大学情報館","KYOTO SEIKA UNIVERSITY Library and Information Center","キョウトセイカダイガクジョウホウカン","606-8588","京都府","京都市左京区","岩倉木野町137","075-702-5137","075-723-1505","http://johokan.kyoto-seika.ac.jp",,2011/10/1 0:00:00,2012/5/2 0:00:00
"JP-1004314","明治国際医療大学附属図書館","Meiji University of Integrative Medicine Library","メイジコクサイイリョウダイガクフゾクトショカン","629-0392","京都府","南丹市","日吉町","0771-72-1181","0771-72-1185","http://www.meiji-u.ac.jp/toshokan/",,2011/10/1 0:00:00,2012/4/18 0:00:00
"JP-1004315","京都芸術大学芸術文化情報センター","Kyoto University of the Arts, Art and Culture Information Center","キョウトゲイジュツダイガクゲイジュツブンカジョウホウセンター","606-8271","京都府","京都市左京区","北白川瓜生山2-116","075-791-8134","075-791-3318","https://acic.kyoto-art.ac.jp",,2011/10/1 0:00:00,2021/6/25 0:00:00
"JP-1004316","京都文教大学図書館","KYOTO BUNKYO UNIVERSITY LIBRARY","キョウトブンキョウダイガクトショカン","611-0041","京都府","宇治市","槙島町千足80","0774-25-2489","0774-25-2490","http://www.kbu.ac.jp/kbu/library",,2011/10/1 0:00:00,2014/2/10 0:00:00
"JP-1004317","福知山公立大学メディアセンター","The University of Fukuchiyama Media Center","フクチヤマコウリツダイガクメディアセンター","620-0886","京都府","福知山市","字堀3370","0773-24-7100","0773-24-7170","http://www.fukuchiyama.ac.jp/associated_organization/media_center/media_center01/",,2011/10/1 0:00:00,2017/5/15 0:00:00
